equipment_id,equipment_type,temperature,pressure,corrosion_index,usage_hours,last_maintenance_days,vibration_level,gas_leak_detected,critical_failure_risk
1,Pressure Regulator,67.89401518016744,25,42,2597,54,47,0,0
2,Chemical Chamber,42.2694366141474,164,73,3076,131,14,0,1
3,Exhaust Fan,30.513592078387916,187,34,840,139,50,0,1
4,Chemical Chamber,77.34534775786176,118,72,570,215,43,0,1
5,Chemical Chamber,43.00633850710544,192,39,1765,25,83,1,1
6,Gas Sensor,48.719718499996056,101,95,3815,65,72,0,1
7,Exhaust Fan,72.44786901933682,138,84,4090,260,26,0,1
8,Exhaust Fan,61.0536583263242,190,57,4960,198,62,0,1
9,Exhaust Fan,76.685118879155,193,33,209,109,45,0,1
10,Chemical Chamber,72.677131574801,148,24,3980,16,45,1,1
11,Pressure Regulator,53.198540315123154,82,55,4489,203,22,0,0
12,Exhaust Fan,75.32879823729024,144,31,2362,142,29,1,1
13,Chemical Chamber,62.51659721689584,37,21,5531,358,60,1,1
14,Gas Sensor,51.02418136964483,105,88,5423,113,92,0,1
15,Pressure Regulator,64.35602434452771,39,64,5647,74,95,0,0
16,Gas Sensor,40.358062202362596,67,99,1059,53,25,0,1
17,Pressure Regulator,72.50771553713086,73,20,1659,118,15,0,0
18,Chemical Chamber,70.56178182521708,121,79,1216,186,84,0,1
19,Valve,61.80537662225754,108,95,780,63,19,1,1
20,Pressure Regulator,31.22590462644028,163,20,1151,141,40,0,1
21,Gas Sensor,77.31607180677673,167,27,7585,301,27,0,1
22,Chemical Chamber,66.55639026386187,66,18,5618,226,50,1,1
23,Pressure Regulator,59.655624796831724,154,13,3873,225,56,1,1
24,Valve,57.290002812314384,170,86,4461,183,33,1,1
25,Valve,51.949211590415956,180,23,5091,161,89,1,1
26,Exhaust Fan,54.83293856219817,187,19,7237,62,98,0,1
27,Exhaust Fan,71.53825039342709,129,31,4480,81,98,0,0
28,Gas Sensor,52.24910935666469,24,73,2050,329,49,0,1
29,Pressure Regulator,55.885467858053815,192,51,7330,16,54,0,1
30,Pressure Regulator,58.08610085539743,130,64,4794,229,92,1,1
31,Exhaust Fan,58.49704108169908,60,94,7157,97,83,0,1
32,Pressure Regulator,50.73282125660468,155,51,5738,360,10,1,1
33,Pressure Regulator,57.44700834182404,101,57,4862,320,36,1,1
34,Valve,65.14970918851732,197,78,2028,326,31,0,1
35,Exhaust Fan,46.42793100298205,50,94,2167,140,37,0,1
36,Chemical Chamber,57.51644074077057,23,91,3935,130,57,0,1
37,Exhaust Fan,88.9647631068165,75,9,2008,143,44,0,0
38,Chemical Chamber,59.05283489692886,24,69,1471,337,12,0,0
39,Valve,46.043654327070314,100,14,4245,180,47,1,1
40,Gas Sensor,44.288822740607266,73,46,7456,163,99,1,1
41,Pressure Regulator,41.02207391950962,143,90,2214,351,53,0,1
42,Valve,84.40674842508385,115,9,6608,123,14,0,0
43,Pressure Regulator,75.12033584574519,112,20,7469,38,83,0,0
44,Gas Sensor,40.65562398863678,99,18,3060,298,16,1,1
45,Gas Sensor,63.2055944150736,20,67,3270,232,98,1,1
46,Valve,78.37254088054362,92,21,4856,337,51,0,0
47,Gas Sensor,59.39297832888795,80,62,2092,252,66,0,0
48,Chemical Chamber,52.62578995908097,145,37,7220,7,94,0,0
49,Gas Sensor,93.61349472717528,26,14,3331,56,38,1,1
50,Pressure Regulator,31.419827645117202,177,69,7059,168,90,0,1
51,Pressure Regulator,99.48871159995231,144,74,7945,317,72,1,1
52,Pressure Regulator,60.89998813284759,34,43,4223,219,45,0,0
53,Pressure Regulator,79.35645195441776,127,29,2613,65,49,0,0
54,Chemical Chamber,41.99080231076512,23,23,7967,194,30,0,0
55,Exhaust Fan,49.11623552926034,82,85,1961,93,62,0,1
56,Valve,43.80064885920299,89,93,6045,341,25,0,1
57,Pressure Regulator,58.48453231486313,57,45,1321,170,55,1,1
58,Gas Sensor,64.6158921016314,194,3,5428,226,18,1,1
59,Pressure Regulator,76.00202994903934,21,5,5656,231,12,1,1
60,Gas Sensor,34.328166024468466,27,37,2413,281,32,1,1
61,Gas Sensor,62.353259066131336,70,25,869,6,22,0,0
62,Pressure Regulator,73.42363301923963,136,18,7236,264,47,1,1
63,Chemical Chamber,76.23278956746496,131,1,3662,53,43,0,0
64,Gas Sensor,53.39221077564858,38,67,1532,19,35,0,0
65,Gas Sensor,53.578857039553284,113,68,2057,265,41,0,0
66,Pressure Regulator,58.61963190247279,50,46,2404,161,29,0,0
67,Gas Sensor,62.79079056615385,99,98,1459,264,55,0,1
68,Gas Sensor,79.53896717437368,121,28,5053,294,64,0,0
69,Pressure Regulator,41.8485655881448,41,63,1356,160,18,0,0
70,Pressure Regulator,48.20619414590176,52,79,7983,23,60,1,1
71,Valve,40.02883034031852,184,11,172,162,66,1,1
72,Chemical Chamber,66.41631127557517,159,84,5232,343,89,1,1
73,Chemical Chamber,76.5205228839207,133,72,6826,7,54,1,1
74,Gas Sensor,38.68549868444581,83,10,5724,363,47,0,0
75,Chemical Chamber,61.33054960344306,172,7,5220,24,77,1,1
76,Gas Sensor,75.43504859967244,48,59,1282,130,21,0,0
77,Valve,71.76820204429548,32,25,5728,255,99,1,1
78,Pressure Regulator,71.59130786797735,45,31,582,256,19,0,0
79,Pressure Regulator,42.15186865660128,41,38,1339,250,89,1,1
80,Pressure Regulator,71.54151616377202,112,3,2342,339,74,1,1
81,Chemical Chamber,57.21111723472483,95,97,3483,106,21,0,1
82,Valve,76.05242721831421,129,91,502,356,61,1,1
83,Chemical Chamber,66.73749832852099,111,88,6247,312,60,0,1
84,Chemical Chamber,47.767488550354784,92,43,864,348,95,0,0
85,Valve,64.18217933331759,138,98,1935,32,73,0,1
86,Valve,72.27774090678619,29,82,2689,77,66,1,1
87,Valve,52.404538963827484,67,34,903,326,28,0,0
88,Valve,61.932029881814195,189,50,6168,93,39,1,1
89,Pressure Regulator,39.95085634576528,109,50,4301,10,94,1,1
90,Exhaust Fan,68.23547901946019,187,28,4317,330,91,1,1
91,Exhaust Fan,59.156044295609256,25,77,3102,34,33,1,1
92,Valve,73.71129588944292,151,84,6951,340,35,1,1
93,Exhaust Fan,67.81300208816069,110,35,7226,111,45,1,1
94,Exhaust Fan,53.892402090926765,74,77,2862,289,65,1,1
95,Valve,47.3044666747419,145,59,2919,344,89,1,1
96,Exhaust Fan,43.85399749011474,150,14,7534,97,67,0,0
97,Chemical Chamber,52.38867000826866,26,50,5460,313,41,1,1
98,Gas Sensor,73.30645054178636,107,49,3224,150,11,0,0
99,Gas Sensor,33.6559896944403,105,93,3295,204,82,1,1
100,Valve,44.46412833541604,159,54,5307,222,91,1,1
101,Pressure Regulator,72.88499139985562,118,11,409,32,58,1,1
102,Valve,79.93428404627123,164,49,3927,125,55,1,1
103,Pressure Regulator,45.25261975164414,94,61,7095,108,92,1,1
104,Gas Sensor,44.29786390827649,126,4,4752,211,64,0,0
105,Valve,81.10740359357857,183,26,3060,2,21,0,1
106,Chemical Chamber,58.14608370648928,164,78,5795,183,86,1,1
107,Exhaust Fan,46.58186431309267,105,89,6941,59,72,1,1
108,Pressure Regulator,75.66926834082929,20,8,6256,289,44,0,0
109,Exhaust Fan,67.55221194906,139,34,2356,96,83,0,0
110,Exhaust Fan,71.04981039952956,86,12,534,250,31,1,1
111,Valve,47.363406273604795,118,43,3223,105,19,1,1
112,Exhaust Fan,65.62238011618958,68,45,6119,211,59,0,0
113,Chemical Chamber,78.69429241384739,70,96,949,270,44,0,1
114,Exhaust Fan,69.61191540972328,90,97,206,59,25,0,1
115,Valve,73.79804877529634,139,67,7788,271,45,1,1
116,Chemical Chamber,81.04713824944353,190,76,2771,29,70,1,1
117,Gas Sensor,66.41504579633033,131,73,219,203,84,1,1
118,Exhaust Fan,51.523186089262516,50,52,6310,112,26,0,0
119,Valve,73.1566673029793,43,0,3134,123,98,1,1
120,Gas Sensor,43.41441973649064,56,10,6325,201,10,1,1
121,Gas Sensor,56.66520759183437,82,49,4909,303,21,1,1
122,Pressure Regulator,68.8211884369374,75,8,5916,185,12,1,1
123,Chemical Chamber,11.73931666065573,37,37,1992,58,82,1,1
124,Exhaust Fan,63.786950480197014,125,86,6107,349,92,0,1
125,Valve,64.49439107891715,176,12,5888,255,28,0,1
126,Pressure Regulator,42.96097617656584,96,4,7895,229,93,1,1
127,Chemical Chamber,64.88790887623972,23,24,2261,341,84,1,1
128,Pressure Regulator,62.84922751884086,140,9,3816,53,97,1,1
129,Chemical Chamber,60.50957670575461,159,4,859,342,31,0,0
130,Chemical Chamber,77.84150705642766,67,21,1746,320,10,1,1
131,Exhaust Fan,73.18364034775803,166,41,4649,244,62,0,1
132,Chemical Chamber,69.59974276070012,45,88,5155,338,53,0,1
133,Pressure Regulator,44.636677061357055,127,19,331,258,19,1,1
134,Chemical Chamber,59.73987997224427,57,27,1694,60,84,1,1
135,Exhaust Fan,77.7665210955885,99,20,6022,229,17,1,1
136,Exhaust Fan,56.780072674780605,172,10,7016,340,26,1,1
137,Pressure Regulator,83.31393029120356,47,92,661,304,79,1,1
138,Gas Sensor,70.03790109602252,80,68,6559,118,16,1,1
139,Gas Sensor,85.64340844338366,108,36,1906,26,72,0,0
140,Chemical Chamber,43.99001665522814,108,48,6718,340,46,0,0
141,Valve,57.68013692062941,198,68,975,150,77,1,1
142,Chemical Chamber,59.09803465487922,159,32,6614,171,73,0,0
143,Pressure Regulator,69.09259959652805,27,44,1738,253,16,0,0
144,Pressure Regulator,48.92103627176232,141,99,1092,20,25,1,1
145,Pressure Regulator,35.88589439945282,122,7,3835,349,98,1,1
146,Pressure Regulator,65.67296560467689,107,5,1656,304,23,1,1
147,Pressure Regulator,54.50290128119899,42,14,4453,351,45,0,0
148,Exhaust Fan,52.93954437299748,56,14,4918,61,82,0,0
149,Gas Sensor,49.607866269581045,30,8,2576,151,20,0,0
150,Pressure Regulator,61.85833136776113,36,60,3671,236,10,1,1
151,Valve,43.84713706568785,149,55,7861,317,18,1,1
152,Valve,57.0870637944796,48,4,5229,230,34,1,1
153,Valve,47.56930527618267,76,25,776,336,24,1,1
154,Valve,50.86233879020342,181,86,6906,191,67,1,1
155,Exhaust Fan,65.30715277159437,97,79,3856,275,33,0,1
156,Valve,69.77114793154193,141,56,524,203,81,0,0
157,Pressure Regulator,55.40842610042336,131,34,1700,204,80,0,0
158,Chemical Chamber,74.51745590258307,112,9,5981,228,55,0,0
159,Valve,45.40929613594334,21,90,5731,269,27,0,1
160,Exhaust Fan,37.20152092499519,143,79,1440,179,76,0,1
161,Exhaust Fan,39.955122202262885,50,20,729,331,72,1,1
162,Valve,43.868898118292364,136,11,4329,257,33,1,1
163,Chemical Chamber,40.30660148825581,132,8,3108,169,93,0,0
164,Valve,90.3173087684437,63,15,2165,3,40,0,1
165,Exhaust Fan,36.746688186053625,146,72,5566,8,99,0,1
166,Gas Sensor,74.0614335509537,109,92,4563,336,47,1,1
167,Pressure Regulator,59.62306726339087,133,53,267,107,52,0,0
168,Exhaust Fan,63.36900700376865,93,22,4105,40,17,0,0
169,Valve,46.41405430934303,65,38,4112,188,81,1,1
170,Pressure Regulator,64.88179087342026,73,87,116,264,14,1,1
171,Valve,46.291221673939525,178,21,7152,330,89,0,1
172,Valve,73.8414927304267,128,54,1645,243,36,0,0
173,Gas Sensor,75.08270216781351,43,30,1630,165,72,1,1
174,Pressure Regulator,57.97707094701118,172,73,3913,283,74,1,1
175,Pressure Regulator,58.95953841968583,182,46,1597,95,72,0,1
176,Gas Sensor,66.4908584914025,76,26,642,131,14,0,0
177,Exhaust Fan,65.72414142086681,91,97,826,262,76,0,1
178,Valve,75.36219559700424,88,47,6549,209,61,0,0
179,Chemical Chamber,74.93768887815449,47,38,478,10,90,0,0
180,Valve,59.567386039813265,52,87,4535,29,92,1,1
181,Valve,52.84163272567584,72,20,6394,148,13,0,0
182,Exhaust Fan,72.17429681792215,141,14,7312,335,86,0,0
183,Valve,57.655713766688486,35,80,4402,66,60,0,1
184,Gas Sensor,61.70615913429788,173,44,3593,12,52,0,1
185,Gas Sensor,67.95474335776636,159,18,6382,13,64,1,1
186,Pressure Regulator,74.63335458113036,106,52,3563,364,99,1,1
187,Chemical Chamber,63.91272212862429,124,88,945,102,50,0,1
188,Valve,51.1920308118917,96,54,6627,173,40,1,1
189,Valve,86.95515515796674,106,85,3952,213,44,1,1
190,Exhaust Fan,82.95512717315118,50,48,4921,169,89,1,1
191,Gas Sensor,44.72994964121252,119,77,773,208,66,1,1
192,Chemical Chamber,46.32342634613449,174,60,3620,347,33,1,1
193,Pressure Regulator,48.20979777211389,55,59,6088,62,62,1,1
194,Gas Sensor,72.72826337572216,78,91,3139,9,39,0,1
195,Pressure Regulator,87.52714787585249,125,75,6446,125,90,0,1
196,Exhaust Fan,52.40590099243175,22,90,2157,162,86,0,1
197,Exhaust Fan,62.5390253687336,140,23,4545,19,16,1,1
198,Valve,48.71091209601121,179,85,5295,346,18,0,1
199,Chemical Chamber,85.50289147324436,34,38,5965,87,30,0,0
200,Pressure Regulator,72.37242512814724,94,60,5964,18,39,1,1
201,Gas Sensor,47.63046654144211,20,99,837,237,31,1,1
202,Exhaust Fan,28.46488333571471,152,22,4058,174,56,1,1
203,Valve,75.56380586642351,109,71,4412,104,71,1,1
204,Valve,51.412727906783594,25,91,5511,237,40,1,1
205,Pressure Regulator,72.64098253816388,152,92,6247,126,13,1,1
206,Exhaust Fan,64.40535505275622,135,78,3549,49,19,0,1
207,Chemical Chamber,32.48555950913922,92,38,5880,102,39,0,0
208,Exhaust Fan,47.89834902289458,175,71,1824,74,16,1,1
209,Pressure Regulator,54.687829690708824,88,91,2753,171,24,0,1
210,Pressure Regulator,49.86315016123008,63,96,1161,138,28,1,1
211,Exhaust Fan,61.74252427328077,163,10,4783,85,83,1,1
212,Pressure Regulator,66.02072169226979,169,41,1418,166,48,1,1
213,Exhaust Fan,86.84039906260621,170,24,7356,38,12,0,1
214,Gas Sensor,67.08320215314701,190,33,7065,249,61,0,1
215,Exhaust Fan,82.36651598579813,87,21,929,268,91,1,1
216,Exhaust Fan,52.84774821688058,190,1,6518,308,97,1,1
217,Pressure Regulator,77.47820120270514,173,50,3685,105,22,0,1
218,Pressure Regulator,54.28202864265107,60,15,3321,348,53,1,1
219,Valve,46.24474797786568,89,10,6849,24,90,1,1
220,Valve,45.61084862683147,50,77,3484,287,26,1,1
221,Gas Sensor,20.370671121847984,36,95,5206,82,84,1,1
222,Valve,72.81123934410238,156,85,2247,255,26,1,1
223,Exhaust Fan,40.647074454899865,74,68,7526,23,61,0,0
224,Pressure Regulator,81.12217851920576,25,99,1402,327,58,1,1
225,Valve,57.386692465191885,151,86,3175,72,92,1,1
226,Valve,36.67702877797861,126,61,6655,118,80,0,0
227,Gas Sensor,43.234047554392866,107,18,6833,38,28,0,0
228,Gas Sensor,62.85952413471496,37,28,4905,156,43,0,0
229,Exhaust Fan,31.80063791184174,179,41,6569,347,39,1,1
230,Pressure Regulator,68.84917510431545,67,22,2060,127,38,1,1
231,Gas Sensor,37.25501567910825,48,59,1800,277,57,1,1
232,Valve,48.91535502203215,179,72,7786,27,17,1,1
233,Pressure Regulator,62.98080503062336,172,17,3120,56,77,0,1
234,Pressure Regulator,67.01416035259797,95,94,1124,125,61,1,1
235,Valve,71.96579694391406,82,80,699,362,84,1,1
236,Gas Sensor,40.4018097973037,28,54,1541,21,91,0,0
237,Valve,55.37320810481737,33,17,7447,14,94,1,1
